year,month,avg_temp
1985,8,27.5
1985,9,27.3
1985,10,25.4
1985,11,20.5
1985,12,17.7
1986,1,15.0
1986,2,14.6
1986,3,17.1
1986,4,21.3
1986,5,23.4
1986,6,26.5
1986,7,28.8
1986,8,28.3
1986,9,27.3
1986,10,23.8
1986,11,21.4
1986,12,18.4
1987,1,16.1
1987,2,16.6
1987,3,19.3
1987,4,21.8
1987,5,24.4
1987,6,25.9
1987,7,28.7
1987,8,28.7
1987,9,27.2
1987,10,26.1
1987,11,23.1
1987,12,18.7
1988,1,18.5
1988,2,17.6
1988,3,19.2
1988,4,20.6
1988,5,23.6
1988,6,27.4
1988,7,29.7
1988,8,28.3
1988,9,27.7
1988,10,25.0
1988,11,20.1
1988,12,17.9
1989,1,17.8
1989,2,17.7
1989,3,17.8
1989,4,21.3
1989,5,23.7
1989,6,26.6
1989,7,28.6
1989,8,28.1
1989,9,27.5
1989,10,24.4
1989,11,21.3
1989,12,17.9
1990,1,16.5
1990,2,18.5
1990,3,19.0
1990,4,20.2
1990,5,23.8
1990,6,27.2
1990,7,29.3
1990,8,29.0
1990,9,27.4
1990,10,24.2
1990,11,22.4
1990,12,18.9
1991,1,17.3
1991,2,16.4
1991,3,20.5
1991,4,22.1
1991,5,24.6
1991,6,28.8
1991,7,29.5
1991,8,28.9
1991,9,27.9
1991,10,24.4
1991,11,21.0
1991,12,19.3
1992,1,17.2
1992,2,16.0
1992,3,20.8
1992,4,21.6
1992,5,23.7
1992,6,26.0
1992,7,28.2
1992,8,28.6
1992,9,27.4
1992,10,24.6
1992,11,21.3
1992,12,19.1
1993,1,17.4
1993,2,17.0
1993,3,18.3
1993,4,20.7
1993,5,24.6
1993,6,27.0
1993,7,29.1
1993,8,28.9
1993,9,27.5
1993,10,24.9
1993,11,22.8
1993,12,18.8
1994,1,17.3
1994,2,17.1
1994,3,17.1
1994,4,22.4
1994,5,23.4
1994,6,26.9
1994,7,29.4
1994,8,28.7
1994,9,26.8
1994,10,24.4
1994,11,22.5
1994,12,20.2
1995,1,16.4
1995,2,15.7
1995,3,17.6
