year,month,avg_temp
2018,6,16.6
2018,7,21.4
2018,8,21.2
2018,9,18.9
2018,10,13.0
2018,11,6.4
2018,12,-1.0
2019,1,-3.0
2019,2,-2.6
2019,3,2.5
2019,4,8.0
2019,5,15.7
2019,6,17.4
2019,7,21.7
2019,8,22.5
2019,9,19.3
2019,10,13.3
2019,11,3.9
2019,12,-0.8
2020,1,-2.3
2020,2,-2.1
2020,3,3.3
2020,4,6.8
2020,5,13.7
2020,6,18.3
2020,7,21.2
2020,8,23.3
2020,9,20.1
2020,10,13.1
2020,11,6.3
2020,12,-1.6
2021,1,-4.4
2021,2,-2.2
2021,3,3.8
2021,4,7.9
2021,5,13.1
2021,6,18.9
2021,7,23.9
2021,8,22.9
2021,9,18.8
2021,10,12.5
2021,11,7.3
2021,12,-0.5
2022,1,-3.2
2022,2,-2.2
2022,3,2.6
2022,4,9.1
2022,5,14.9
2022,6,16.8
2022,7,23.1
2022,8,22.7
2022,9,19.8
2022,10,12.6
2022,11,7.1
2022,12,-1.4
2023,1,-4.4
2023,2,-2.7
2023,3,4.9
2023,4,9.2
2023,5,13.8
2023,6,19.3
2023,7,23.8
2023,8,26.7
2023,9,21.5
2023,10,13.3
2023,11,6.7
2023,12,-0.7
